OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LUCH 5A (SDCM/PRN 140),2011-074B,2026-07-15T10:44:29.613408,1.00273119,.0002635,8.8235,73.3905,60.7728,127.2423,0,U,37951,999,5333,0,-.64E-6,0
BEIDOU-2 G5 (C05),2012-008A,2026-07-16T03:20:11.133600,1.00270511,.00073103,3.6439,69.5081,268.4025,64.7668,0,U,38091,999,5265,0,.45E-6,0
BEIDOU-2 M3 (C11),2012-018A,2026-07-16T04:25:36.797952,1.86229721,.00209696,55.7312,303.8981,272.3216,87.4681,0,U,38250,999,9648,0,-.76E-6,0
BEIDOU-2 M4 (C12),2012-018B,2026-07-16T02:48:11.738592,1.86229294,.00121215,55.6313,303.1119,272.2752,87.6168,0,U,38251,999,9648,0,-.75E-6,0
SES-5 (EGNOS/PRN 136),2012-036A,2026-07-16T06:30:03.141216,1.00271516,.00019742,0.0442,323.5427,149.5625,283.4877,0,U,38652,999,4474,0,.23E-6,0
BEIDOU-2 M6 (C14),2012-050B,2026-07-15T19:50:00.704256,1.86230913,.00128901,56.5693,61.9476,1.6971,358.3817,0,U,38775,999,9384,0,-.44E-6,0
GSAT-10 (GAGAN/PRN 128),2012-051B,2026-07-16T03:27:02.975616,1.00272749,.00074164,0.0887,264.5677,189.6747,334.4892,0,U,38779,999,5038,0,-.175E-5,0
GPS BIIF-3  (PRN 24),2012-053A,2026-07-14T17:41:43.071648,2.00567894,.01819929,53.5896,142.4706,66.2134,295.6400,0,U,38833,999,9999,0,.2E-7,0
GSAT0103 (GALILEO-FM3),2012-055A,2026-07-13T06:51:10.050336,1.70473329,.0003756,55.8215,100.8292,311.8113,48.1723,0,U,38857,999,8545,0,-.3E-6,0
BEIDOU-2 G6 (C02),2012-059A,2026-07-16T03:46:38.668800,1.00273526,.00087027,4.4924,73.2036,327.0851,34.3553,0,U,38953,999,5020,0,-.188E-5,0
LUCH 5B (SDCM/PRN 125),2012-061A,2026-07-16T00:44:24.009216,1.00270317,.00039004,10.5443,49.5899,147.2991,91.7999,0,U,38977,999,4989,0,-.152E-5,0
COSMOS 2485 (747),2013-019A,2026-07-15T01:34:27.472800,2.13103174,.00226531,65.4351,72.6696,231.1274,128.7466,0,U,39155,999,10287,0,-.9E-7,0
GPS BIIF-4  (PRN 27),2013-023A,2026-07-15T14:27:10.507680,2.00563312,.0141388,54.4824,267.8149,51.1134,310.2184,0,U,39166,999,9645,0,-.9E-7,0
IRNSS-1A,2013-034A,2026-07-10T17:17:25.712736,1.00281941,.0017567,35.7704,63.5328,183.4462,356.2994,0,U,39199,999,4760,0,.47E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2026-07-15T14:29:46.846752,2.00561577,.0084091,53.6578,148.1607,231.5484,127.6542,0,U,39533,999,9025,0,.11E-6,0
ASTRA 5B (EGNOS/PRN 123),2014-011B,2026-07-16T06:35:25.127232,1.00268607,.00018922,0.0744,303.0661,177.8815,295.4830,0,U,39617,999,4495,0,.126E-5,0
COSMOS 2492 (754),2014-012A,2026-07-14T13:19:26.928192,2.13103205,.0010322,65.2800,313.0063,317.7862,42.1441,0,U,39620,999,9582,0,-.62E-6,0
IRNSS-1B,2014-017A,2026-07-15T17:03:00.572256,1.00275936,.00222843,28.8748,239.9111,191.7753,172.7664,0,U,39635,999,4508,0,.127E-5,0
LUCH 5V (SDCM/PRN 141),2014-023A,2026-07-16T01:47:42.376992,1.00273314,.00020754,5.2020,69.4371,85.2878,260.8375,0,U,39727,999,4464,0,-.282E-5,0
GPS BIIF-6  (PRN 06),2014-026A,2026-07-15T09:09:21.973248,2.00558840,.00381411,56.4831,330.4202,325.7796,33.9711,0,U,39741,999,8910,0,-.95E-6,0
COSMOS 2500 (755),2014-032A,2026-07-15T04:39:07.763040,2.13105781,.0008262,65.2146,312.7295,190.4247,169.5708,0,U,40001,999,9405,0,-.61E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2026-07-14T23:23:28.311936,2.00560212,.0034406,55.3710,87.3578,118.3743,242.0239,0,U,40105,999,8663,0,-.25E-6,0
GSAT0201 (GALILEO 5),2014-050A,2026-07-15T10:39:36.116064,1.85519399,.16786554,48.8437,272.2762,180.5299,179.3301,0,U,40128,999,7884,0,-.31E-6,0
GSAT0202 (GALILEO 6),2014-050B,2026-07-14T01:59:01.990752,1.85520425,.1679589,48.8629,271.4179,181.1559,178.4672,0,U,40129,999,8098,0,-.18E-6,0
IRNSS-1C,2014-061A,2026-07-15T19:57:21.752928,1.00272233,.00220694,6.5880,88.3869,5.5373,222.1370,0,U,40269,999,4297,0,-.176E-5,0
GPS BIIF-8  (PRN 03),2014-068A,2026-07-14T20:13:45.283872,2.00553162,.00674067,57.0066,29.8902,72.2885,288.4955,0,U,40294,999,8576,0,-.65E-6,0
COSMOS 2501 (702K),2014-075A,2026-07-14T01:09:44.871264,2.13101105,.0022586,63.6185,189.4424,212.6579,147.2095,0,U,40315,999,9042,0,.65E-6,0
GPS BIIF-9  (PRN 26),2015-013A,2026-07-15T23:33:30.931200,2.00549601,.0110386,53.1660,202.9866,40.3901,320.4392,0,U,40534,999,8240,0,.42E-6,0
GSAT0203 (GALILEO 7),2015-017A,2026-07-14T18:46:19.723008,1.70476177,.00026409,56.7770,340.8444,255.9596,103.9964,0,U,40544,999,6967,0,-.99E-6,0
GSAT0204 (GALILEO 8),2015-017B,2026-07-15T00:54:46.748448,1.70475668,.00028058,56.7833,340.8561,234.5634,125.3958,0,U,40545,999,3272,0,-.1E-5,0
BEIDOU-3S IGSO-1S (C31),2015-019A,2026-07-02T19:12:21.705408,1.00680073,.00768606,49.1798,295.2769,219.1125,144.2493,0,U,40549,999,4123,0,-.19E-5,0
GPS BIIF-10 (PRN 08),2015-033A,2026-07-15T03:25:15.578688,2.00554681,.0115357,53.9612,265.9327,30.2860,330.4577,0,U,40730,999,8055,0,-.2E-7,0
BEIDOU-3S M2S (C58),2015-037A,2026-07-15T05:52:28.574688,1.86231974,.00094242,54.8444,301.0806,256.8142,103.1126,0,U,40748,999,7464,0,-.69E-6,0
BEIDOU-3S M1S (C57),2015-037B,2026-07-15T23:39:18.274752,1.86254819,.00027544,54.8400,301.0417,63.2309,296.8311,0,U,40749,999,7466,0,-.72E-6,0
GSAT0206 (GALILEO 10),2015-045B,2026-07-14T10:33:44.988192,1.70473502,.00021594,54.9389,220.8513,328.3003,31.7529,0,U,40890,999,6750,0,.65E-6,0
BEIDOU-3S IGSO-2S (C56),2015-053A,2026-07-16T03:29:47.712768,1.00252633,.00662631,49.1773,258.4358,193.1701,348.1230,0,U,40938,999,3964,0,-.96E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2026-07-13T04:52:25.143456,2.00566897,.01127742,56.9770,29.8096,230.8884,128.1532,0,U,41019,999,7835,0,-.56E-6,0
GSAT-15 (GAGAN/PRN 139),2015-065A,2026-07-14T08:43:42.352896,1.00267881,.00035804,0.0277,63.4769,29.8725,63.3157,0,U,41028,999,3907,0,0,0
GSAT0209 (GALILEO 12),2015-079A,2026-07-14T00:31:25.953024,1.70473559,.00047936,55.8424,100.5256,355.0835,4.9328,0,U,41174,999,6523,0,-.29E-6,0
GSAT0208 (GALILEO 11),2015-079B,2026-07-14T19:53:24.793152,1.70473443,.00043604,55.8401,100.5005,357.6027,2.4215,0,U,41175,999,6566,0,-.28E-6,0
IRNSS-1E,2016-003A,2026-07-13T01:01:03.714240,1.00278688,.00189772,33.2887,59.3748,176.6620,181.8769,0,U,41241,999,3833,0,-.321E-5,0
GPS BIIF-12 (PRN 32),2016-007A,2026-07-15T18:53:39.029856,2.00575339,.00966286,55.5414,88.3254,247.6143,111.4117,0,U,41328,999,7641,0,-.24E-6,0
COSMOS 2514 (751),2016-008A,2026-07-15T10:34:43.980384,2.13102558,.00123163,65.0030,312.0370,201.1829,158.7806,0,U,41330,999,8122,0,-.61E-6,0
BEIDOU-2 IGSO-6 (C13),2016-021A,2026-06-26T02:38:38.671584,1.00258926,.0057558,60.2385,37.9495,231.0163,137.2672,0,U,41434,999,3757,0,-.145E-5,0
IRNSS-1G,2016-027A,2026-07-16T00:15:03.336192,1.00270417,.000596,5.2647,96.8077,11.5789,318.9035,0,U,41469,999,3746,0,-.348E-5,0
GSAT0211 (GALILEO 14),2016-030A,2026-07-14T08:46:46.904160,1.70473656,.00033839,55.0898,220.9468,318.5013,41.5401,0,U,41549,999,6313,0,.66E-6,0
GSAT0210 (GALILEO 13),2016-030B,2026-07-14T14:57:12.475584,1.70473871,.0004719,55.0888,220.9379,246.1345,113.8809,0,U,41550,999,6313,0,.64E-6,0
BEIDOU-2 G7 (C03),2016-037A,2026-07-16T07:00:07.757280,1.00272853,.00058978,1.7899,69.4983,359.8751,80.3340,0,U,41586,999,718,0,-.365E-5,0
EUTELSAT 117 WEST B (WAAS/PRN 131),2016-038B,2026-07-16T00:47:22.736256,1.00273122,.00001676,0.0097,199.8826,314.0131,34.8299,0,U,41589,999,3695,0,-.22E-6,0
GSAT0207 (GALILEO 15),2016-069A,2026-07-15T11:43:03.764064,1.70473446,.00045678,55.5148,100.3030,339.1852,20.8267,0,U,41859,999,5988,0,-.27E-6,0
